origin_lat,origin_lng,dest_lat,dest_lng,hour,day_of_week,is_weekend,is_peak_hour,traffic_model,distance_km,free_flow_time,traffic_time,multiplier,timestamp
11.0175,76.9681,11.0097,76.9448,0,0,1,0,best_guess,3.367,605,382,0.631,manual_fix
11.0175,76.9681,11.0305,77.0161,0,0,1,0,best_guess,9.016,1454,1125,0.774,manual_fix
11.0175,76.9681,10.9664,76.968,0,0,1,0,best_guess,8.256,1300,892,0.686,manual_fix
11.0175,76.9681,11.076,77.0003,0,0,1,0,best_guess,9.588,1460,969,0.664,manual_fix
11.0175,76.9681,11.009,76.9604,0,0,1,0,best_guess,2.154,435,301,0.692,manual_fix
11.0175,76.9681,10.9996,76.9749,0,0,1,0,best_guess,5.313,839,619,0.738,manual_fix
11.0175,76.9681,11.0347,76.9765,0,0,1,0,best_guess,3.590,680,444,0.653,manual_fix
11.0175,76.9681,11.0001,77.0268,0,0,1,0,best_guess,11.241,1448,1040,0.718,manual_fix
11.0175,76.9681,10.9329,76.9248,0,0,1,0,best_guess,15.109,2212,1671,0.755,manual_fix
11.0097,76.9448,11.0175,76.9681,0,0,1,0,best_guess,3.504,776,535,0.689,manual_fix
11.0097,76.9448,11.0305,77.0161,0,0,1,0,best_guess,11.497,1758,1368,0.778,manual_fix
11.0097,76.9448,10.9664,76.968,0,0,1,0,best_guess,6.893,1236,809,0.655,manual_fix
11.0097,76.9448,11.076,77.0003,0,0,1,0,best_guess,12.070,1764,1212,0.687,manual_fix
11.0097,76.9448,11.009,76.9604,0,0,1,0,best_guess,2.442,483,331,0.685,manual_fix
11.0097,76.9448,10.9996,76.9749,0,0,1,0,best_guess,4.800,801,591,0.738,manual_fix
11.0097,76.9448,11.0347,76.9765,0,0,1,0,best_guess,6.072,984,688,0.699,manual_fix
11.0097,76.9448,11.0001,77.0268,0,0,1,0,best_guess,10.728,1410,1012,0.718,manual_fix
11.0097,76.9448,10.9329,76.9248,0,0,1,0,best_guess,13.746,2148,1587,0.739,manual_fix
11.0305,77.0161,11.0175,76.9681,0,0,1,0,best_guess,9.109,1590,1225,0.770,manual_fix
11.0305,77.0161,11.0097,76.9448,0,0,1,0,best_guess,12.064,1906,1385,0.727,manual_fix
11.0305,77.0161,10.9664,76.968,0,0,1,0,best_guess,13.947,1856,1496,0.806,manual_fix
11.0305,77.0161,11.076,77.0003,0,0,1,0,best_guess,7.126,1148,890,0.775,manual_fix
11.0305,77.0161,11.009,76.9604,0,0,1,0,best_guess,11.155,1724,1308,0.759,manual_fix
11.0305,77.0161,10.9996,76.9749,0,0,1,0,best_guess,9.102,1330,1052,0.791,manual_fix
11.0305,77.0161,11.0347,76.9765,0,0,1,0,best_guess,7.663,1431,1161,0.811,manual_fix
11.0305,77.0161,11.0001,77.0268,0,0,1,0,best_guess,8.653,1370,1100,0.803,manual_fix
11.0305,77.0161,10.9329,76.9248,0,0,1,0,best_guess,20.800,2768,2268,0.819,manual_fix
10.9664,76.968,11.0175,76.9681,0,0,1,0,best_guess,6.996,1159,803,0.693,manual_fix
10.9664,76.968,11.0097,76.9448,0,0,1,0,best_guess,6.498,1019,692,0.679,manual_fix
10.9664,76.968,11.0305,77.0161,0,0,1,0,best_guess,13.529,2081,1543,0.741,manual_fix
10.9664,76.968,11.076,77.0003,0,0,1,0,best_guess,15.133,2096,1504,0.718,manual_fix
10.9664,76.968,11.009,76.9604,0,0,1,0,best_guess,6.812,1098,740,0.674,manual_fix
10.9664,76.968,10.9996,76.9749,0,0,1,0,best_guess,5.963,950,641,0.675,manual_fix
10.9664,76.968,11.0347,76.9765,0,0,1,0,best_guess,9.135,1315,983,0.748,manual_fix
10.9664,76.968,11.0001,77.0268,0,0,1,0,best_guess,10.561,1135,896,0.789,manual_fix
10.9664,76.968,10.9329,76.9248,0,0,1,0,best_guess,9.215,1189,996,0.838,manual_fix
11.076,77.0003,11.0175,76.9681,0,0,1,0,best_guess,9.267,1405,1025,0.730,manual_fix
11.076,77.0003,11.0097,76.9448,0,0,1,0,best_guess,12.537,1966,1373,0.698,manual_fix
11.076,77.0003,11.0305,77.0161,0,0,1,0,best_guess,7.945,1280,1066,0.833,manual_fix
11.076,77.0003,10.9664,76.968,0,0,1,0,best_guess,16.245,2338,1716,0.734,manual_fix
11.076,77.0003,11.009,76.9604,0,0,1,0,best_guess,11.323,1795,1294,0.721,manual_fix
11.076,77.0003,10.9996,76.9749,0,0,1,0,best_guess,12.204,1689,1295,0.767,manual_fix
11.076,77.0003,11.0347,76.9765,0,0,1,0,best_guess,7.821,1246,961,0.771,manual_fix
11.076,77.0003,11.0001,77.0268,0,0,1,0,best_guess,16.081,2305,1670,0.725,manual_fix
11.076,77.0003,10.9329,76.9248,0,0,1,0,best_guess,23.098,3250,2485,0.765,manual_fix
11.009,76.9604,11.0175,76.9681,0,0,1,0,best_guess,1.827,494,338,0.684,manual_fix
11.009,76.9604,11.0097,76.9448,0,0,1,0,best_guess,2.072,453,302,0.667,manual_fix
11.009,76.9604,11.0305,77.0161,0,0,1,0,best_guess,10.135,1635,1293,0.791,manual_fix
11.009,76.9604,10.9664,76.968,0,0,1,0,best_guess,6.585,1074,757,0.705,manual_fix
11.009,76.9604,11.076,77.0003,0,0,1,0,best_guess,10.707,1641,1136,0.692,manual_fix
11.009,76.9604,10.9996,76.9749,0,0,1,0,best_guess,3.642,614,483,0.787,manual_fix
11.009,76.9604,11.0347,76.9765,0,0,1,0,best_guess,3.975,866,591,0.682,manual_fix
11.009,76.9604,11.0001,77.0268,0,0,1,0,best_guess,9.570,1222,904,0.740,manual_fix
11.009,76.9604,10.9329,76.9248,0,0,1,0,best_guess,13.438,1986,1535,0.773,manual_fix
10.9996,76.9749,11.0175,76.9681,0,0,1,0,best_guess,3.301,661,480,0.726,manual_fix
10.9996,76.9749,11.0097,76.9448,0,0,1,0,best_guess,4.214,775,538,0.694,manual_fix
10.9996,76.9749,11.0305,77.0161,0,0,1,0,best_guess,8.828,1391,1113,0.800,manual_fix
10.9996,76.9749,10.9664,76.968,0,0,1,0,best_guess,5.554,854,616,0.721,manual_fix
10.9996,76.9749,11.076,77.0003,0,0,1,0,best_guess,11.439,1598,1182,0.740,manual_fix
10.9996,76.9749,11.009,76.9604,0,0,1,0,best_guess,3.518,636,476,0.748,manual_fix
10.9996,76.9749,11.0347,76.9765,0,0,1,0,best_guess,5.441,818,658,0.804,manual_fix
10.9996,76.9749,11.0001,77.0268,0,0,1,0,best_guess,6.209,621,521,0.839,manual_fix
10.9996,76.9749,10.9329,76.9248,0,0,1,0,best_guess,12.408,1766,1395,0.790,manual_fix
11.0347,76.9765,11.0175,76.9681,0,0,1,0,best_guess,2.468,473,338,0.715,manual_fix
11.0347,76.9765,11.0097,76.9448,0,0,1,0,best_guess,5.738,1034,689,0.666,manual_fix
11.0347,76.9765,11.0305,77.0161,0,0,1,0,best_guess,7.161,1341,1125,0.839,manual_fix
11.0347,76.9765,10.9664,76.968,0,0,1,0,best_guess,9.446,1406,1031,0.733,manual_fix
11.0347,76.9765,11.076,77.0003,0,0,1,0,best_guess,6.606,990,729,0.736,manual_fix
11.0347,76.9765,11.009,76.9604,0,0,1,0,best_guess,4.524,863,608,0.705,manual_fix
11.0347,76.9765,10.9996,76.9749,0,0,1,0,best_guess,5.405,757,606,0.801,manual_fix
11.0347,76.9765,11.0001,77.0268,0,0,1,0,best_guess,10.213,1487,1059,0.712,manual_fix
11.0347,76.9765,10.9329,76.9248,0,0,1,0,best_guess,16.299,2318,1809,0.780,manual_fix
11.0001,77.0268,11.0175,76.9681,0,0,1,0,best_guess,10.119,1337,1023,0.765,manual_fix
11.0001,77.0268,11.0097,76.9448,0,0,1,0,best_guess,10.766,1499,1054,0.703,manual_fix
11.0001,77.0268,11.0305,77.0161,0,0,1,0,best_guess,7.982,1251,997,0.797,manual_fix
11.0001,77.0268,10.9664,76.968,0,0,1,0,best_guess,10.551,1124,925,0.823,manual_fix
11.0001,77.0268,11.076,77.0003,0,0,1,0,best_guess,13.284,2015,1489,0.739,manual_fix
11.0001,77.0268,11.009,76.9604,0,0,1,0,best_guess,9.905,1261,994,0.788,manual_fix
11.0001,77.0268,10.9996,76.9749,0,0,1,0,best_guess,6.751,702,581,0.828,manual_fix
11.0001,77.0268,11.0347,76.9765,0,0,1,0,best_guess,12.220,1546,1217,0.787,manual_fix
11.0001,77.0268,10.9329,76.9248,0,0,1,0,best_guess,17.404,2036,1704,0.837,manual_fix
10.9329,76.9248,11.0175,76.9681,0,0,1,0,best_guess,13.781,2093,1606,0.767,manual_fix
10.9329,76.9248,11.0097,76.9448,0,0,1,0,best_guess,11.635,1695,1474,0.870,manual_fix
10.9329,76.9248,11.0305,77.0161,0,0,1,0,best_guess,20.314,3015,2344,0.777,manual_fix
10.9329,76.9248,10.9664,76.968,0,0,1,0,best_guess,9.220,1225,1051,0.858,manual_fix
10.9329,76.9248,11.076,77.0003,0,0,1,0,best_guess,21.918,3030,2302,0.760,manual_fix
10.9329,76.9248,11.009,76.9604,0,0,1,0,best_guess,13.597,2032,1551,0.763,manual_fix
10.9329,76.9248,10.9996,76.9749,0,0,1,0,best_guess,12.748,1884,1448,0.769,manual_fix
10.9329,76.9248,11.0347,76.9765,0,0,1,0,best_guess,15.920,2249,1786,0.794,manual_fix
10.9329,76.9248,11.0001,77.0268,0,0,1,0,best_guess,17.299,2065,1701,0.824,manual_fix
12.9941,80.1709,13.0418,80.2341,0,0,1,0,best_guess,11.017,1701,1196,0.703,manual_fix
12.9941,80.1709,11.0667,76.95,0,0,1,0,best_guess,496.485,31480,30760,0.977,manual_fix
12.9941,80.1709,13.0827,80.2707,0,0,1,0,best_guess,18.242,2849,1986,0.697,manual_fix
12.9941,80.1709,11.0175,76.9681,0,0,1,0,best_guess,489.311,30571,29977,0.981,manual_fix
12.9941,80.1709,11.0265,77.1264,0,0,1,0,best_guess,477.103,29625,29172,0.985,manual_fix
12.9941,80.1709,13.09,80.25,0,0,1,0,best_guess,18.152,2971,2025,0.682,manual_fix
12.9941,80.1709,12.901,80.2279,0,0,1,0,best_guess,23.163,2951,2221,0.753,manual_fix
12.9941,80.1709,11.0097,76.9448,0,0,1,0,best_guess,490.800,30764,30117,0.979,manual_fix
12.9941,80.1709,11.076,77.0003,0,0,1,0,best_guess,488.281,30805,30170,0.979,manual_fix
13.0418,80.2341,12.9941,80.1709,0,0,1,0,best_guess,12.130,2083,1498,0.719,manual_fix
13.0418,80.2341,11.0667,76.95,0,0,1,0,best_guess,506.810,33089,31467,0.951,manual_fix
13.0418,80.2341,13.0827,80.2707,0,0,1,0,best_guess,7.225,1148,812,0.707,manual_fix
13.0418,80.2341,11.0175,76.9681,0,0,1,0,best_guess,499.636,32180,30676,0.953,manual_fix
13.0418,80.2341,11.0265,77.1264,0,0,1,0,best_guess,487.427,31234,29860,0.956,manual_fix
13.0418,80.2341,13.09,80.25,0,0,1,0,best_guess,6.852,1249,865,0.693,manual_fix
13.0418,80.2341,12.901,80.2279,0,0,1,0,best_guess,20.229,2811,1991,0.708,manual_fix
13.0418,80.2341,11.0097,76.9448,0,0,1,0,best_guess,501.304,32246,30800,0.955,manual_fix
13.0418,80.2341,11.076,77.0003,0,0,1,0,best_guess,498.605,32414,30874,0.952,manual_fix
11.0667,76.95,12.9941,80.1709,0,0,1,0,best_guess,494.450,31162,29747,0.955,manual_fix
11.0667,76.95,13.0418,80.2341,0,0,1,0,best_guess,504.635,32573,30959,0.950,manual_fix
11.0667,76.95,13.0827,80.2707,0,0,1,0,best_guess,514.685,32939,31274,0.949,manual_fix
11.0667,76.95,11.0175,76.9681,0,0,1,0,best_guess,8.724,1292,876,0.678,manual_fix
11.0667,76.95,11.0265,77.1264,0,0,1,0,best_guess,27.588,3337,2478,0.743,manual_fix
11.0667,76.95,13.09,80.25,0,0,1,0,best_guess,513.451,32783,31198,0.952,manual_fix
11.0667,76.95,12.901,80.2279,0,0,1,0,best_guess,499.347,31604,30436,0.963,manual_fix
11.0667,76.95,11.0097,76.9448,0,0,1,0,best_guess,8.107,1267,891,0.703,manual_fix
11.0667,76.95,11.076,77.0003,0,0,1,0,best_guess,7.095,988,766,0.775,manual_fix
13.0827,80.2707,12.9941,80.1709,0,0,1,0,best_guess,19.733,2948,2049,0.695,manual_fix
13.0827,80.2707,13.0418,80.2341,0,0,1,0,best_guess,8.927,1444,1043,0.722,manual_fix
13.0827,80.2707,11.0667,76.95,0,0,1,0,best_guess,516.039,33300,31790,0.955,manual_fix
13.0827,80.2707,11.0175,76.9681,0,0,1,0,best_guess,508.865,32392,30999,0.957,manual_fix
13.0827,80.2707,11.0265,77.1264,0,0,1,0,best_guess,496.657,31446,30178,0.960,manual_fix
13.0827,80.2707,13.09,80.25,0,0,1,0,best_guess,3.978,762,513,0.673,manual_fix
13.0827,80.2707,12.901,80.2279,0,0,1,0,best_guess,24.928,3514,2468,0.702,manual_fix
13.0827,80.2707,11.0097,76.9448,0,0,1,0,best_guess,510.353,32584,31144,0.956,manual_fix
13.0827,80.2707,11.076,77.0003,0,0,1,0,best_guess,507.834,32626,31195,0.956,manual_fix
11.0175,76.9681,12.9941,80.1709,0,0,1,0,best_guess,488.264,30427,29240,0.961,manual_fix
11.0175,76.9681,13.0418,80.2341,0,0,1,0,best_guess,498.449,31838,30434,0.956,manual_fix
11.0175,76.9681,11.0667,76.95,0,0,1,0,best_guess,7.978,1176,877,0.746,manual_fix
11.0175,76.9681,13.0827,80.2707,0,0,1,0,best_guess,508.499,32204,30765,0.955,manual_fix
11.0175,76.9681,11.0265,77.1264,0,0,1,0,best_guess,22.848,2675,1976,0.739,manual_fix
11.0175,76.9681,13.09,80.25,0,0,1,0,best_guess,507.265,32048,30695,0.958,manual_fix
11.0175,76.9681,12.901,80.2279,0,0,1,0,best_guess,493.161,30868,29930,0.970,manual_fix
11.0265,77.1264,12.9941,80.1709,0,0,1,0,best_guess,476.131,29098,28439,0.977,manual_fix
11.0265,77.1264,13.0418,80.2341,0,0,1,0,best_guess,486.316,30509,29632,0.971,manual_fix
11.0265,77.1264,11.0667,76.95,0,0,1,0,best_guess,28.060,3379,2595,0.768,manual_fix
11.0265,77.1264,13.0827,80.2707,0,0,1,0,best_guess,496.366,30875,29976,0.971,manual_fix
11.0265,77.1264,11.0175,76.9681,0,0,1,0,best_guess,21.891,2600,1982,0.762,manual_fix
11.0265,77.1264,13.09,80.25,0,0,1,0,best_guess,495.131,30719,29908,0.974,manual_fix
11.0265,77.1264,12.901,80.2279,0,0,1,0,best_guess,481.028,29540,29125,0.986,manual_fix
11.0265,77.1264,11.0097,76.9448,0,0,1,0,best_guess,22.539,2762,2005,0.726,manual_fix
11.0265,77.1264,11.076,77.0003,0,0,1,0,best_guess,24.639,2799,2177,0.778,manual_fix
13.09,80.25,12.9941,80.1709,0,0,1,0,best_guess,18.387,3175,2072,0.653,manual_fix
13.09,80.25,13.0418,80.2341,0,0,1,0,best_guess,9.096,1510,1083,0.717,manual_fix
13.09,80.25,11.0667,76.95,0,0,1,0,best_guess,514.721,33067,31711,0.959,manual_fix
13.09,80.25,13.0827,80.2707,0,0,1,0,best_guess,3.665,710,444,0.625,manual_fix
13.09,80.25,11.0175,76.9681,0,0,1,0,best_guess,507.547,32159,30919,0.961,manual_fix
13.09,80.25,11.0265,77.1264,0,0,1,0,best_guess,495.338,31213,30102,0.964,manual_fix
